text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
Philando Castile #BlackLivesMatter,FALSE,0,NA,2021-12-06 7:42:02,FALSE,NA,1467761235726901248,NA,"<a href=""https://www.saythenames.com"" rel=""nofollow"">SayTheNames</a>",say_the_names,0,FALSE,FALSE,NA,NA
RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…,FALSE,0,NA,2021-12-06 7:41:37,FALSE,NA,1467761130848325637,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",iKnowWisdom,649,TRUE,FALSE,NA,NA
RT @_webshareztv: @GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlack…,FALSE,0,NA,2021-12-06 7:41:31,FALSE,NA,1467761101932830721,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,3,TRUE,FALSE,NA,NA
"RT @OneInAnARMY: ARMY
You #MatchedAMillion💜

It's really amazing to see so many of you coming together to support #BlackLivesMatter. Thank…",FALSE,0,NA,2021-12-06 7:41:24,FALSE,NA,1467761073138778113,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",bie_ver,36763,TRUE,FALSE,NA,NA
"RT @dolphinscheer: #BlackLivesMatter is more than a hashtag. 

Shayla discusses the importance of representing @Blklivesmatter for #MyCause…",FALSE,0,NA,2021-12-06 7:40:22,FALSE,NA,1467760813452644354,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",K1XTARTART,1,TRUE,FALSE,NA,NA
"RT @iCarlyFan2009: God, Father Of Jesus. Lord Of Our Sky. See what happened on the news in the past, Than help us put a stop to it. Help Us…",FALSE,0,NA,2021-12-06 7:40:19,FALSE,NA,1467760801230458882,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Agent_Rickson80,2,TRUE,FALSE,NA,NA
RT @_webshareztv: @GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlack…,FALSE,0,NA,2021-12-06 7:39:14,FALSE,NA,1467760530102407171,NA,"<a href=""http://twitter.com/sbbexpo"" rel=""nofollow"">#SBBRT</a>",SBBExpo,3,TRUE,FALSE,NA,NA
"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…",FALSE,0,NA,2021-12-06 7:39:13,FALSE,NA,1467760523643179010,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",geni_habeshawit,1139,TRUE,FALSE,NA,NA
"RT @meiklwagner: Breakout - Swing Out Sister, 1987, Mercury Records.
On YouTube: https://t.co/tJnf5rGIhQ

#FridaysForFuture #Berlin👑 #cinem…",FALSE,0,NA,2021-12-06 7:39:12,FALSE,NA,1467760522946875394,NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",meiklwagner,15,TRUE,FALSE,NA,NA
RT @LordLivi: Alien Artifact NFT first look https://t.co/WvCQbjR0wz @opensea #icantbreathe #GeorgeFloyd #BlackLivesMatter @emiliaclarke @Mi…,FALSE,0,NA,2021-12-06 7:38:25,FALSE,NA,1467760325403414534,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",mperkins37,15,TRUE,FALSE,NA,NA
"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…",FALSE,0,NA,2021-12-06 7:36:53,FALSE,NA,1467759935928864768,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Samri44540293,1139,TRUE,FALSE,NA,NA
"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…",FALSE,0,NA,2021-12-06 7:36:44,FALSE,NA,1467759898859429888,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",meraf_kenfe,1139,TRUE,FALSE,NA,NA
RT @chilternbear: Animals in #Chicago attack a black bus driver for fun…do #BlackLivesMatter to black thugs? …#America,FALSE,0,NA,2021-12-06 7:34:39,FALSE,NA,1467759374105985031,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",PHYLLIS00206210,4,TRUE,FALSE,NA,NA
