created,text
2021-12-06 7:42:02,Philando Castile #BlackLivesMatter
2021-12-06 7:41:37,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
2021-12-06 7:41:31,RT @_webshareztv: @GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlack…
2021-12-06 7:41:24,"RT @OneInAnARMY: ARMY
You #MatchedAMillion💜

It's really amazing to see so many of you coming together to support #BlackLivesMatter. Thank…"
2021-12-06 7:40:22,"RT @dolphinscheer: #BlackLivesMatter is more than a hashtag. 

Shayla discusses the importance of representing @Blklivesmatter for #MyCause…"
2021-12-06 7:40:19,"RT @iCarlyFan2009: God, Father Of Jesus. Lord Of Our Sky. See what happened on the news in the past, Than help us put a stop to it. Help Us…"
2021-12-06 7:39:14,RT @_webshareztv: @GainmutuallT ❤️ @_webshareztv #realitybites #DaniloIgnacio #followus #Changingthenarrative  #blackbusiness #SupportBlack…
2021-12-06 7:39:13,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:39:12,"RT @meiklwagner: Breakout - Swing Out Sister, 1987, Mercury Records.
On YouTube: https://t.co/tJnf5rGIhQ

#FridaysForFuture #Berlin👑 #cinem…"
2021-12-06 7:38:25,RT @LordLivi: Alien Artifact NFT first look https://t.co/WvCQbjR0wz @opensea #icantbreathe #GeorgeFloyd #BlackLivesMatter @emiliaclarke @Mi…
2021-12-06 7:36:53,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:36:44,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:34:39,RT @chilternbear: Animals in #Chicago attack a black bus driver for fun…do #BlackLivesMatter to black thugs? …#America
2021-12-06 7:33:45,3/3) Lots of elite Indian liberals pretended to support #BlackLivesMatter when #GeorgeFloyd was killed in the US. T… https://t.co/xEUWtVSkFt
2021-12-06 7:32:43,"@KeshaRam @KeshaRam please don't drag #BlackLivesMatter into something that you have no clue about, or are you disr… https://t.co/kk1AhnCXew"
2021-12-06 7:32:10,"Sat May 30 2020 Kansas City, Missouri - Police pepper spray and arrest protester holding sign WATCH:… https://t.co/0Q6yrJsKx2"
2021-12-06 7:32:01,"RT @DeepHydrangeas: This Twitter user has #BPD.

This Twitter user supports:
- #LGBTQA+ community
- #blacklivesmatter
- #Metoomovement 
- #…"
2021-12-06 7:30:10,RT @abboreed: one of my kids friends at school had unexpectedly lost their dad. if you can’t donate rt pls! #BlackLivesMatter #supportblack…
2021-12-06 7:29:55,"RT @IDLIVA: Would #BlackLivesMatter by now if cell phone video, police body cams &amp; social media had been around since 1619? https://t.co/yK…"
2021-12-06 7:29:22,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/Uoi7eNkUmX"
2021-12-06 7:28:46,RT @Elelta5: Young men and boys in Tigray are being indiscriminately EXECUTED by Ethiopian and Eritrean soldiers so that they may not join…
2021-12-06 7:28:13,U.S. Accuses Whole Foods of Banning Black Lives Matter Masks - Bloomberg @SocialistAlt    🚨 Vote ‘NO’ immediately t… https://t.co/JG0BjU08iK
2021-12-06 7:27:50,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
2021-12-06 7:27:34,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/KrLyhhUkpc"
2021-12-06 7:27:05,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/3z8oogx3hA"
2021-12-06 7:26:45,https://t.co/poOmb1Q5j9 The Impossible Burger: Inside the strange science of the synthetic meat that ‘bleeds’… https://t.co/5nqTOun3jI
2021-12-06 7:26:43,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/qtBuyZ2MmP"
2021-12-06 7:26:00,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
2021-12-06 7:25:55,Randy Nelson   #SayTheirNames #BlackLivesMatter
2021-12-06 7:25:43,"If you're reading this, remember that #BlackLivesMatter"
2021-12-06 7:25:42,"RT @meiklwagner: Everybody Wants To Rule The World ( Extended) - Tears For Fears, 1985, Mercury Records.
On YouTube: https://t.co/OpkEIDkNw…"
2021-12-06 7:25:36,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/z1YJPoyMNk"
2021-12-06 7:25:13,Hunger Continues to Plague Americans. Here’s Why—and What to Do About It. | Civil Eats @SocialistAlt    🚨 Vote ‘NO’… https://t.co/ZQLzfed1tU
2021-12-06 7:25:09,"RT @iCarlyFan2009: God, Father Of Jesus. Lord Of Our Sky. See what happened on the news in the past, Than help us put a stop to it. Help Us…"
2021-12-06 7:25:08,The Waukesha #BlackLivesMatter terrorist’s bail was set at one thousand dollars. He intentionally murdered people.… https://t.co/ei3wz4Lfrw
2021-12-06 7:24:55,"RT @WaleWinters: If you’re seeing this, all I have to say is God is watching you. So stay positive, keep the faith and remain hopeful becau…"
2021-12-06 7:24:17,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/4NkJ7AHzfz"
2021-12-06 7:24:03,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/QX9pUT0hdT"
2021-12-06 7:23:39,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/K610lXyvoN"
